ID_CORRIDA,ano_corrida,round,no_corrida,id_circuito,id_posicao
1,2009,1,"Australian Grand Prix",1,1
2,2009,2,"Malaysian Grand Prix",2,2
3,2009,3,"Chinese Grand Prix",17,3
4,2009,4,"Bahrain Grand Prix",3,4
5,2009,5,"Spanish Grand Prix",4,5
6,2009,6,"Monaco Grand Prix",6,6
7,2009,7,"Turkish Grand Prix",5,7
8,2009,8,"British Grand Prix",9,8
9,2009,9,"German Grand Prix",20,0
10,2009,10,"Hungarian Grand Prix",11,0
11,2009,11,"European Grand Prix",12,0
12,2009,12,"Belgian Grand Prix",13,0
13,2009,13,"Italian Grand Prix",14,0
14,2009,14,"Singapore Grand Prix",15,0
15,2009,15,"Japanese Grand Prix",22,0
16,2009,16,"Brazilian Grand Prix",18,0
17,2009,17,"Abu Dhabi Grand Prix",24,0
18,2008,1,"Australian Grand Prix",1,0
19,2008,2,"Malaysian Grand Prix",2,0
20,2008,3,"Bahrain Grand Prix",3,0
21,2008,4,"Spanish Grand Prix",4,0
22,2008,5,"Turkish Grand Prix",5,0
23,2008,6,"Monaco Grand Prix",6,1
24,2008,7,"Canadian Grand Prix",7,2
25,2008,8,"French Grand Prix",8,3
26,2008,9,"British Grand Prix",9,4
27,2008,10,"German Grand Prix",10,5
28,2008,11,"Hungarian Grand Prix",11,6
29,2008,12,"European Grand Prix",12,7
30,2008,13,"Belgian Grand Prix",13,8
31,2008,14,"Italian Grand Prix",14,9
32,2008,15,"Singapore Grand Prix",15,10
33,2008,16,"Japanese Grand Prix",16,11
34,2008,17,"Chinese Grand Prix",17,12
35,2008,18,"Brazilian Grand Prix",18,13
36,2007,1,"Australian Grand Prix",1,14
37,2007,2,"Malaysian Grand Prix",2,15
38,2007,3,"Bahrain Grand Prix",3,16
39,2007,4,"Spanish Grand Prix",4,17
40,2007,5,"Monaco Grand Prix",6,0
41,2007,6,"Canadian Grand Prix",7,0
42,2007,7,"United States Grand Prix",19,0
43,2007,8,"French Grand Prix",8,0
44,2007,9,"British Grand Prix",9,0
45,2007,10,"European Grand Prix",20,1
46,2007,11,"Hungarian Grand Prix",11,2
47,2007,12,"Turkish Grand Prix",5,3
48,2007,13,"Italian Grand Prix",14,4
49,2007,14,"Belgian Grand Prix",13,5
50,2007,15,"Japanese Grand Prix",16,6
51,2007,16,"Chinese Grand Prix",17,7
52,2007,17,"Brazilian Grand Prix",18,8
53,2006,1,"Bahrain Grand Prix",3,9
54,2006,2,"Malaysian Grand Prix",2,10
55,2006,3,"Australian Grand Prix",1,11
56,2006,4,"San Marino Grand Prix",21,12
57,2006,5,"European Grand Prix",20,13
58,2006,6,"Spanish Grand Prix",4,14
59,2006,7,"Monaco Grand Prix",6,15
60,2006,8,"British Grand Prix",9,16
61,2006,9,"Canadian Grand Prix",7,17
62,2006,10,"United States Grand Prix",19,18
63,2006,11,"French Grand Prix",8,19
64,2006,12,"German Grand Prix",10,0
65,2006,13,"Hungarian Grand Prix",11,0
66,2006,14,"Turkish Grand Prix",5,0
67,2006,15,"Italian Grand Prix",14,1
68,2006,16,"Chinese Grand Prix",17,2
69,2006,17,"Japanese Grand Prix",22,3
70,2006,18,"Brazilian Grand Prix",18,4
71,2005,1,"Australian Grand Prix",1,5
72,2005,2,"Malaysian Grand Prix",2,6
73,2005,3,"Bahrain Grand Prix",3,7
74,2005,4,"San Marino Grand Prix",21,8
75,2005,5,"Spanish Grand Prix",4,9
76,2005,6,"Monaco Grand Prix",6,10
77,2005,7,"European Grand Prix",20,11
78,2005,8,"Canadian Grand Prix",7,12
79,2005,9,"United States Grand Prix",19,13
80,2005,10,"French Grand Prix",8,0
81,2005,11,"British Grand Prix",9,0
82,2005,12,"German Grand Prix",10,0
83,2005,13,"Hungarian Grand Prix",11,0
84,2005,14,"Turkish Grand Prix",5,0
85,2005,15,"Italian Grand Prix",14,0
86,2005,16,"Belgian Grand Prix",13,0
87,2005,17,"Brazilian Grand Prix",18,0
88,2005,18,"Japanese Grand Prix",22,0
89,2005,19,"Chinese Grand Prix",17,1
90,2004,1,"Australian Grand Prix",1,2
91,2004,2,"Malaysian Grand Prix",2,3
92,2004,3,"Bahrain Grand Prix",3,4
93,2004,4,"San Marino Grand Prix",21,5
94,2004,5,"Spanish Grand Prix",4,6
95,2004,6,"Monaco Grand Prix",6,7
96,2004,7,"European Grand Prix",20,8
97,2004,8,"Canadian Grand Prix",7,9
98,2004,9,"United States Grand Prix",19,10
99,2004,10,"French Grand Prix",8,11
100,2004,11,"British Grand Prix",9,12
101,2004,12,"German Grand Prix",10,13
102,2004,13,"Hungarian Grand Prix",11,14
103,2004,14,"Belgian Grand Prix",13,15
104,2004,15,"Italian Grand Prix",14,16
105,2004,16,"Chinese Grand Prix",17,17
106,2004,17,"Japanese Grand Prix",22,0
107,2004,18,"Brazilian Grand Prix",18,0
108,2003,1,"Australian Grand Prix",1,0
109,2003,2,"Malaysian Grand Prix",2,1
110,2003,3,"Brazilian Grand Prix",18,2
111,2003,4,"San Marino Grand Prix",21,3
112,2003,5,"Spanish Grand Prix",4,4
113,2003,6,"Austrian Grand Prix",23,5
114,2003,7,"Monaco Grand Prix",6,6
115,2003,8,"Canadian Grand Prix",7,7
116,2003,9,"European Grand Prix",20,8
117,2003,10,"French Grand Prix",8,9
118,2003,11,"British Grand Prix",9,10
119,2003,12,"German Grand Prix",10,11
120,2003,13,"Hungarian Grand Prix",11,12
121,2003,14,"Italian Grand Prix",14,13
122,2003,15,"United States Grand Prix",19,14
123,2003,16,"Japanese Grand Prix",22,0
124,2002,1,"Australian Grand Prix",1,0
125,2002,2,"Malaysian Grand Prix",2,0
126,2002,3,"Brazilian Grand Prix",18,0
127,2002,4,"San Marino Grand Prix",21,0
128,2002,5,"Spanish Grand Prix",4,0
129,2002,6,"Austrian Grand Prix",23,1
130,2002,7,"Monaco Grand Prix",6,2
131,2002,8,"Canadian Grand Prix",7,3
132,2002,9,"European Grand Prix",20,4
133,2002,10,"British Grand Prix",9,5
134,2002,11,"French Grand Prix",8,6
135,2002,12,"German Grand Prix",10,7
136,2002,13,"Hungarian Grand Prix",11,8
137,2002,14,"Belgian Grand Prix",13,9
138,2002,15,"Italian Grand Prix",14,10
139,2002,16,"United States Grand Prix",19,11
140,2002,17,"Japanese Grand Prix",22,12
141,2001,1,"Australian Grand Prix",1,13
142,2001,2,"Malaysian Grand Prix",2,0
143,2001,3,"Brazilian Grand Prix",18,0
144,2001,4,"San Marino Grand Prix",21,0
145,2001,5,"Spanish Grand Prix",4,0
146,2001,6,"Austrian Grand Prix",23,0
147,2001,7,"Monaco Grand Prix",6,0
148,2001,8,"Canadian Grand Prix",7,0
149,2001,9,"European Grand Prix",20,1
150,2001,10,"French Grand Prix",8,2
151,2001,11,"British Grand Prix",9,3
152,2001,12,"German Grand Prix",10,4
153,2001,13,"Hungarian Grand Prix",11,5
154,2001,14,"Belgian Grand Prix",13,6
155,2001,15,"Italian Grand Prix",14,7
156,2001,16,"United States Grand Prix",19,8
157,2001,17,"Japanese Grand Prix",22,9
158,2000,1,"Australian Grand Prix",1,10
159,2000,2,"Brazilian Grand Prix",18,11
160,2000,3,"San Marino Grand Prix",21,12
161,2000,4,"British Grand Prix",9,13
162,2000,5,"Spanish Grand Prix",4,14
163,2000,6,"European Grand Prix",20,15
164,2000,7,"Monaco Grand Prix",6,16
165,2000,8,"Canadian Grand Prix",7,17
166,2000,9,"French Grand Prix",8,18
167,2000,10,"Austrian Grand Prix",23,19
168,2000,11,"German Grand Prix",10,0
169,2000,12,"Hungarian Grand Prix",11,1
170,2000,13,"Belgian Grand Prix",13,2
171,2000,14,"Italian Grand Prix",14,3
172,2000,15,"United States Grand Prix",19,4
173,2000,16,"Japanese Grand Prix",22,5
174,2000,17,"Malaysian Grand Prix",2,6
175,1999,1,"Australian Grand Prix",1,7
176,1999,2,"Brazilian Grand Prix",18,8
177,1999,3,"San Marino Grand Prix",21,9
178,1999,4,"Monaco Grand Prix",6,10
179,1999,5,"Spanish Grand Prix",4,11
180,1999,6,"Canadian Grand Prix",7,12
181,1999,7,"French Grand Prix",8,13
182,1999,8,"British Grand Prix",9,0
183,1999,9,"Austrian Grand Prix",23,0
184,1999,10,"German Grand Prix",10,0
185,1999,11,"Hungarian Grand Prix",11,0
186,1999,12,"Belgian Grand Prix",13,0
187,1999,13,"Italian Grand Prix",14,0
188,1999,14,"European Grand Prix",20,0
189,1999,15,"Malaysian Grand Prix",2,1
190,1999,16,"Japanese Grand Prix",22,2
191,1998,1,"Australian Grand Prix",1,3
192,1998,2,"Brazilian Grand Prix",18,4
193,1998,3,"Argentine Grand Prix",25,5
194,1998,4,"San Marino Grand Prix",21,6
195,1998,5,"Spanish Grand Prix",4,7
196,1998,6,"Monaco Grand Prix",6,8
197,1998,7,"Canadian Grand Prix",7,9
198,1998,8,"French Grand Prix",8,10
199,1998,9,"British Grand Prix",9,11
200,1998,10,"Austrian Grand Prix",23,12
201,1998,11,"German Grand Prix",10,13
202,1998,12,"Hungarian Grand Prix",11,14
203,1998,13,"Belgian Grand Prix",13,15
204,1998,14,"Italian Grand Prix",14,16
205,1998,15,"Luxembourg Grand Prix",20,17
206,1998,16,"Japanese Grand Prix",22,0
207,1997,1,"Australian Grand Prix",1,0
208,1997,2,"Brazilian Grand Prix",18,0
209,1997,3,"Argentine Grand Prix",25,1
210,1997,4,"San Marino Grand Prix",21,2
211,1997,5,"Monaco Grand Prix",6,3
212,1997,6,"Spanish Grand Prix",4,4
213,1997,7,"Canadian Grand Prix",7,5
214,1997,8,"French Grand Prix",8,6
215,1997,9,"British Grand Prix",9,7
216,1997,10,"German Grand Prix",10,8
217,1997,11,"Hungarian Grand Prix",11,9
218,1997,12,"Belgian Grand Prix",13,10
219,1997,13,"Italian Grand Prix",14,11
220,1997,14,"Austrian Grand Prix",23,12
221,1997,15,"Luxembourg Grand Prix",20,13
222,1997,16,"Japanese Grand Prix",22,14
223,1997,17,"European Grand Prix",26,15
224,1996,1,"Australian Grand Prix",1,16
225,1996,2,"Brazilian Grand Prix",18,17
226,1996,3,"Argentine Grand Prix",25,18
227,1996,4,"European Grand Prix",20,0
228,1996,5,"San Marino Grand Prix",21,0
229,1996,6,"Monaco Grand Prix",6,1
230,1996,7,"Spanish Grand Prix",4,2
231,1996,8,"Canadian Grand Prix",7,3
232,1996,9,"French Grand Prix",8,4
233,1996,10,"British Grand Prix",9,5
234,1996,11,"German Grand Prix",10,6
235,1996,12,"Hungarian Grand Prix",11,7
236,1996,13,"Belgian Grand Prix",13,8
237,1996,14,"Italian Grand Prix",14,9
238,1996,15,"Portuguese Grand Prix",27,10
239,1996,16,"Japanese Grand Prix",22,11
240,1995,1,"Brazilian Grand Prix",18,12
241,1995,2,"Argentine Grand Prix",25,13
242,1995,3,"San Marino Grand Prix",21,14
243,1995,4,"Spanish Grand Prix",4,15
244,1995,5,"Monaco Grand Prix",6,16
245,1995,6,"Canadian Grand Prix",7,17
246,1995,7,"French Grand Prix",8,0
247,1995,8,"British Grand Prix",9,0
248,1995,9,"German Grand Prix",10,0
249,1995,10,"Hungarian Grand Prix",11,1
250,1995,11,"Belgian Grand Prix",13,2
251,1995,12,"Italian Grand Prix",14,3
252,1995,13,"Portuguese Grand Prix",27,4
253,1995,14,"European Grand Prix",20,5
254,1995,15,"Pacific Grand Prix",28,6
255,1995,16,"Japanese Grand Prix",22,7
256,1995,17,"Australian Grand Prix",29,8
257,1994,1,"Brazilian Grand Prix",18,9
258,1994,2,"Pacific Grand Prix",28,10
259,1994,3,"San Marino Grand Prix",21,11
260,1994,4,"Monaco Grand Prix",6,12
261,1994,5,"Spanish Grand Prix",4,13
262,1994,6,"Canadian Grand Prix",7,14
263,1994,7,"French Grand Prix",8,15
264,1994,8,"British Grand Prix",9,16
265,1994,9,"German Grand Prix",10,17
266,1994,10,"Hungarian Grand Prix",11,18
267,1994,11,"Belgian Grand Prix",13,0
268,1994,12,"Italian Grand Prix",14,0
269,1994,13,"Portuguese Grand Prix",27,1
270,1994,14,"European Grand Prix",26,2
271,1994,15,"Japanese Grand Prix",22,3
272,1994,16,"Australian Grand Prix",29,4
273,1993,1,"South African Grand Prix",30,5
274,1993,2,"Brazilian Grand Prix",18,6
275,1993,3,"European Grand Prix",31,7
276,1993,4,"San Marino Grand Prix",21,8
277,1993,5,"Spanish Grand Prix",4,9
278,1993,6,"Monaco Grand Prix",6,10
279,1993,7,"Canadian Grand Prix",7,11
280,1993,8,"French Grand Prix",8,12
281,1993,9,"British Grand Prix",9,13
282,1993,10,"German Grand Prix",10,14
283,1993,11,"Hungarian Grand Prix",11,15
284,1993,12,"Belgian Grand Prix",13,16
285,1993,13,"Italian Grand Prix",14,17
286,1993,14,"Portuguese Grand Prix",27,18
287,1993,15,"Japanese Grand Prix",22,19
288,1993,16,"Australian Grand Prix",29,0
289,1992,1,"South African Grand Prix",30,1
290,1992,2,"Mexican Grand Prix",32,2
291,1992,3,"Brazilian Grand Prix",18,3
292,1992,4,"Spanish Grand Prix",4,4
293,1992,5,"San Marino Grand Prix",21,5
294,1992,6,"Monaco Grand Prix",6,6
295,1992,7,"Canadian Grand Prix",7,7
296,1992,8,"French Grand Prix",8,8
297,1992,9,"British Grand Prix",9,9
298,1992,10,"German Grand Prix",10,10
299,1992,11,"Hungarian Grand Prix",11,11
300,1992,12,"Belgian Grand Prix",13,12
301,1992,13,"Italian Grand Prix",14,13
302,1992,14,"Portuguese Grand Prix",27,14
303,1992,15,"Japanese Grand Prix",22,15
304,1992,16,"Australian Grand Prix",29,0
305,1991,1,"United States Grand Prix",33,0
306,1991,2,"Brazilian Grand Prix",18,0
307,1991,3,"San Marino Grand Prix",21,0
308,1991,4,"Monaco Grand Prix",6,0
309,1991,5,"Canadian Grand Prix",7,1
310,1991,6,"Mexican Grand Prix",32,2
311,1991,7,"French Grand Prix",8,3
312,1991,8,"British Grand Prix",9,4
313,1991,9,"German Grand Prix",10,5
314,1991,10,"Hungarian Grand Prix",11,6
315,1991,11,"Belgian Grand Prix",13,7
316,1991,12,"Italian Grand Prix",14,8
317,1991,13,"Portuguese Grand Prix",27,9
318,1991,14,"Spanish Grand Prix",4,10
319,1991,15,"Japanese Grand Prix",22,11
320,1991,16,"Australian Grand Prix",29,12
321,1990,1,"United States Grand Prix",33,13
322,1990,2,"Brazilian Grand Prix",18,14
323,1990,3,"San Marino Grand Prix",21,15
324,1990,4,"Monaco Grand Prix",6,0
325,1990,5,"Canadian Grand Prix",7,0
326,1990,6,"Mexican Grand Prix",32,0
327,1990,7,"French Grand Prix",34,0
328,1990,8,"British Grand Prix",9,0
329,1990,9,"German Grand Prix",10,1
330,1990,10,"Hungarian Grand Prix",11,2
331,1990,11,"Belgian Grand Prix",13,3
332,1990,12,"Italian Grand Prix",14,4
333,1990,13,"Portuguese Grand Prix",27,5
334,1990,14,"Spanish Grand Prix",26,6
335,1990,15,"Japanese Grand Prix",22,7
336,1990,16,"Australian Grand Prix",29,8
337,2010,1,"Bahrain Grand Prix",3,9
338,2010,2,"Australian Grand Prix",1,10
339,2010,3,"Malaysian Grand Prix",2,11
340,2010,4,"Chinese Grand Prix",17,12
341,2010,5,"Spanish Grand Prix",4,13
342,2010,6,"Monaco Grand Prix",6,14
343,2010,7,"Turkish Grand Prix",5,15
344,2010,8,"Canadian Grand Prix",7,16
345,2010,9,"European Grand Prix",12,17
346,2010,10,"British Grand Prix",9,0
347,2010,11,"German Grand Prix",10,0
348,2010,12,"Hungarian Grand Prix",11,0
349,2010,13,"Belgian Grand Prix",13,1
350,2010,14,"Italian Grand Prix",14,2
351,2010,15,"Singapore Grand Prix",15,3
352,2010,16,"Japanese Grand Prix",22,4
353,2010,17,"Korean Grand Prix",35,5
354,2010,18,"Brazilian Grand Prix",18,6
355,2010,19,"Abu Dhabi Grand Prix",24,7
356,1989,1,"Brazilian Grand Prix",36,8
357,1989,2,"San Marino Grand Prix",21,9
358,1989,3,"Monaco Grand Prix",6,10
359,1989,4,"Mexican Grand Prix",32,11
360,1989,5,"United States Grand Prix",33,12
361,1989,6,"Canadian Grand Prix",7,13
362,1989,7,"French Grand Prix",34,14
363,1989,8,"British Grand Prix",9,15
364,1989,9,"German Grand Prix",10,16
365,1989,10,"Hungarian Grand Prix",11,17
366,1989,11,"Belgian Grand Prix",13,18
367,1989,12,"Italian Grand Prix",14,0
368,1989,13,"Portuguese Grand Prix",27,0
369,1989,14,"Spanish Grand Prix",26,1
370,1989,15,"Japanese Grand Prix",22,2
371,1989,16,"Australian Grand Prix",29,3
372,1988,1,"Brazilian Grand Prix",36,4
373,1988,2,"San Marino Grand Prix",21,5
374,1988,3,"Monaco Grand Prix",6,6
375,1988,4,"Mexican Grand Prix",32,7
376,1988,5,"Canadian Grand Prix",7,8
377,1988,6,"Detroit Grand Prix",37,9
378,1988,7,"French Grand Prix",34,10
379,1988,8,"British Grand Prix",9,11
380,1988,9,"German Grand Prix",10,12
381,1988,10,"Hungarian Grand Prix",11,13
382,1988,11,"Belgian Grand Prix",13,14
383,1988,12,"Italian Grand Prix",14,15
384,1988,13,"Portuguese Grand Prix",27,16
385,1988,14,"Spanish Grand Prix",26,17
386,1988,15,"Japanese Grand Prix",22,0
387,1988,16,"Australian Grand Prix",29,0
388,1987,1,"Brazilian Grand Prix",36,0
389,1987,2,"San Marino Grand Prix",21,0
390,1987,3,"Belgian Grand Prix",13,0
391,1987,4,"Monaco Grand Prix",6,1
392,1987,5,"Detroit Grand Prix",37,2
393,1987,6,"French Grand Prix",34,3
394,1987,7,"British Grand Prix",9,4
395,1987,8,"German Grand Prix",10,5
396,1987,9,"Hungarian Grand Prix",11,6
397,1987,10,"Austrian Grand Prix",23,7
398,1987,11,"Italian Grand Prix",14,8
399,1987,12,"Portuguese Grand Prix",27,9
400,1987,13,"Spanish Grand Prix",26,10
401,1987,14,"Mexican Grand Prix",32,11
402,1987,15,"Japanese Grand Prix",22,12
403,1987,16,"Australian Grand Prix",29,13
404,1986,1,"Brazilian Grand Prix",36,14
405,1986,2,"Spanish Grand Prix",26,15
406,1986,3,"San Marino Grand Prix",21,16
407,1986,4,"Monaco Grand Prix",6,17
408,1986,5,"Belgian Grand Prix",13,18
409,1986,6,"Canadian Grand Prix",7,0
410,1986,7,"Detroit Grand Prix",37,0
411,1986,8,"French Grand Prix",34,0
412,1986,9,"British Grand Prix",38,0
413,1986,10,"German Grand Prix",10,1
414,1986,11,"Hungarian Grand Prix",11,2
415,1986,12,"Austrian Grand Prix",23,3
416,1986,13,"Italian Grand Prix",14,4
417,1986,14,"Portuguese Grand Prix",27,5
418,1986,15,"Mexican Grand Prix",32,6
419,1986,16,"Australian Grand Prix",29,7
420,1985,1,"Brazilian Grand Prix",36,8
421,1985,2,"Portuguese Grand Prix",27,9
422,1985,3,"San Marino Grand Prix",21,10
423,1985,4,"Monaco Grand Prix",6,11
424,1985,5,"Canadian Grand Prix",7,12
425,1985,6,"Detroit Grand Prix",37,13
426,1985,7,"French Grand Prix",34,14
427,1985,8,"British Grand Prix",9,15
428,1985,9,"German Grand Prix",20,16
429,1985,10,"Austrian Grand Prix",23,0
430,1985,11,"Dutch Grand Prix",39,0
431,1985,12,"Italian Grand Prix",14,0
432,1985,13,"Belgian Grand Prix",13,0
433,1985,14,"European Grand Prix",38,0
434,1985,15,"South African Grand Prix",30,0
435,1985,16,"Australian Grand Prix",29,1
436,1984,1,"Brazilian Grand Prix",36,2
437,1984,2,"South African Grand Prix",30,3
438,1984,3,"Belgian Grand Prix",40,4
439,1984,4,"San Marino Grand Prix",21,5
440,1984,5,"French Grand Prix",41,6
441,1984,6,"Monaco Grand Prix",6,7
442,1984,7,"Canadian Grand Prix",7,8
443,1984,8,"Detroit Grand Prix",37,9
444,1984,9,"Dallas Grand Prix",42,10
445,1984,10,"British Grand Prix",38,11
446,1984,11,"German Grand Prix",10,12
447,1984,12,"Austrian Grand Prix",23,13
448,1984,13,"Dutch Grand Prix",39,14
449,1984,14,"Italian Grand Prix",14,0
450,1984,15,"European Grand Prix",20,0
451,1984,16,"Portuguese Grand Prix",27,0
452,1983,1,"Brazilian Grand Prix",36,0
453,1983,2,"United States Grand Prix West",43,0
454,1983,3,"French Grand Prix",34,0
455,1983,4,"San Marino Grand Prix",21,0
456,1983,5,"Monaco Grand Prix",6,0
457,1983,6,"Belgian Grand Prix",13,1
458,1983,7,"Detroit Grand Prix",37,2
459,1983,8,"Canadian Grand Prix",7,3
460,1983,9,"British Grand Prix",9,4
461,1983,10,"German Grand Prix",10,5
462,1983,11,"Austrian Grand Prix",23,6
463,1983,12,"Dutch Grand Prix",39,7
464,1983,13,"Italian Grand Prix",14,8
465,1983,14,"European Grand Prix",38,9
466,1983,15,"South African Grand Prix",30,10
467,1982,1,"South African Grand Prix",30,11
468,1982,2,"Brazilian Grand Prix",36,12
469,1982,3,"United States Grand Prix West",43,13
470,1982,4,"San Marino Grand Prix",21,14
471,1982,5,"Belgian Grand Prix",40,15
472,1982,6,"Monaco Grand Prix",6,16
473,1982,7,"Detroit Grand Prix",37,17
474,1982,8,"Canadian Grand Prix",7,18
475,1982,9,"Dutch Grand Prix",39,19
476,1982,10,"British Grand Prix",38,0
477,1982,11,"French Grand Prix",34,0
478,1982,12,"German Grand Prix",10,0
479,1982,13,"Austrian Grand Prix",23,1
480,1982,14,"Swiss Grand Prix",41,2
481,1982,15,"Italian Grand Prix",14,3
482,1982,16,"Caesars Palace Grand Prix",44,4
483,1981,1,"United States Grand Prix West",43,5
484,1981,2,"Brazilian Grand Prix",36,6
485,1981,3,"Argentine Grand Prix",25,7
486,1981,4,"San Marino Grand Prix",21,8
487,1981,5,"Belgian Grand Prix",40,9
488,1981,6,"Monaco Grand Prix",6,10
489,1981,7,"Spanish Grand Prix",45,11
490,1981,8,"French Grand Prix",41,12
491,1981,9,"British Grand Prix",9,0
492,1981,10,"German Grand Prix",10,0
493,1981,11,"Austrian Grand Prix",23,0
494,1981,12,"Dutch Grand Prix",39,0
495,1981,13,"Italian Grand Prix",14,0
496,1981,14,"Canadian Grand Prix",7,0
497,1981,15,"Caesars Palace Grand Prix",44,0
498,1980,1,"Argentine Grand Prix",25,0
499,1980,2,"Brazilian Grand Prix",18,0
500,1980,3,"South African Grand Prix",30,0
501,1980,4,"United States Grand Prix West",43,1
502,1980,5,"Belgian Grand Prix",40,2
503,1980,6,"Monaco Grand Prix",6,3
504,1980,7,"French Grand Prix",34,4
505,1980,8,"British Grand Prix",38,5
506,1980,9,"German Grand Prix",10,6
507,1980,10,"Austrian Grand Prix",23,7
508,1980,11,"Dutch Grand Prix",39,8
509,1980,12,"Italian Grand Prix",21,9
510,1980,13,"Canadian Grand Prix",7,10
511,1980,14,"United States Grand Prix",46,11
512,1979,1,"Argentine Grand Prix",25,12
513,1979,2,"Brazilian Grand Prix",18,13
514,1979,3,"South African Grand Prix",30,14
515,1979,4,"United States Grand Prix West",43,15
516,1979,5,"Spanish Grand Prix",45,16
517,1979,6,"Belgian Grand Prix",40,17
518,1979,7,"Monaco Grand Prix",6,0
519,1979,8,"French Grand Prix",41,0
520,1979,9,"British Grand Prix",9,0
521,1979,10,"German Grand Prix",10,0
522,1979,11,"Austrian Grand Prix",23,0
523,1979,12,"Dutch Grand Prix",39,1
524,1979,13,"Italian Grand Prix",14,2
525,1979,14,"Canadian Grand Prix",7,3
526,1979,15,"United States Grand Prix",46,4
527,1978,1,"Argentine Grand Prix",25,5
528,1978,2,"Brazilian Grand Prix",36,6
